{'01044099999': -10.0, '02293099999': -27.6}
         313561 function calls (307829 primitive calls) in 0.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1976(MozillaCookieJar)
      253    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       82    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 cookies.py:3(<module>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 core.py:17(where)
      302    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      302    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      309    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
      624    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        6    0.000    0.000    0.000    0.000 typing.py:802(__getitem__)
     1084    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:4(<module>)
    76/63    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       17    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        1    0.000    0.000    0.000    0.000 models.py:277(CharsetMatches)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
     1084    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__enter__)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 resources.py:173(path)
      308    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
